"date","sst_arc"
1987-01-01,-1.22261692650336
1987-02-01,-1.33037146930272
1987-03-01,-1.31696757641919
1987-04-01,-1.32291019157124
1987-05-01,-1.10143427793407
1987-06-01,-0.428684133323404
1987-07-01,0.895846922954953
1987-08-01,1.55340141892781
1987-09-01,0.917574836472562
1987-10-01,-0.224830865985194
1987-11-01,-0.918974229288446
1987-12-01,-1.16388596792012
1988-01-01,-1.30117084420115
1988-02-01,-1.35107922325738
1988-03-01,-1.36447671011395
1988-04-01,-1.35621564575264
1988-05-01,-1.01892724408972
1988-06-01,-0.274486482030119
1988-07-01,1.21703412484697
1988-08-01,1.69281858983686
1988-09-01,1.08621511929051
1988-10-01,-0.234887754969093
1988-11-01,-1.03985783087488
1988-12-01,-1.24973986337462
1989-01-01,-1.35052106273093
1989-02-01,-1.37910727806151
1989-03-01,-1.34070141312909
1989-04-01,-1.23696714725083
1989-05-01,-0.975823798423103
1989-06-01,-0.252653933591135
1989-07-01,0.940589771656938
1989-08-01,1.59310982550719
1989-09-01,1.13515195314592
1989-10-01,-0.119423349104418
1989-11-01,-0.829107350902193
1989-12-01,-1.15188638004953
1990-01-01,-1.25465294879645
1990-02-01,-1.23813497654188
1990-03-01,-1.26404958549362
1990-04-01,-1.14487928726415
1990-05-01,-0.836544583936679
1990-06-01,-0.0129132376004443
1990-07-01,1.27495827616742
1990-08-01,2.00121460873258
1990-09-01,1.41010658201684
1990-10-01,-0.0168188027972013
1990-11-01,-0.922278931658412
1990-12-01,-1.13124742808643
1991-01-01,-1.24802984360025
1991-02-01,-1.23432878436554
1991-03-01,-1.26673103512806
1991-04-01,-1.2082246031926
1991-05-01,-0.928153667624275
1991-06-01,-0.143704175844819
1991-07-01,1.16772169214504
1991-08-01,1.87916553843234
1991-09-01,1.26379764141228
1991-10-01,-0.0483484713593878
1991-11-01,-0.854177897505516
1991-12-01,-1.1024853247531
1992-01-01,-1.2337661421614
1992-02-01,-1.3065636473568
1992-03-01,-1.27225823121077
1992-04-01,-1.28076997432253
1992-05-01,-0.971626048853008
1992-06-01,-0.257682480147444
1992-07-01,1.01407876495688
1992-08-01,1.39965644087616
1992-09-01,0.889471304694006
1992-10-01,-0.348675522063253
1992-11-01,-0.949243867069968
1992-12-01,-1.1405373231272
1993-01-01,-1.24983962781227
1993-02-01,-1.29779633058224
1993-03-01,-1.31336395217873
1993-04-01,-1.25528217604411
1993-05-01,-0.959543379583712
1993-06-01,0.0280644866617273
1993-07-01,1.26997269295119
1993-08-01,1.58563080225876
1993-09-01,1.07712773804854
1993-10-01,-0.240053820792447
1993-11-01,-0.917825985167328
1993-12-01,-1.14260437183036
1994-01-01,-1.28509626036607
1994-02-01,-1.32322358729306
1994-03-01,-1.34505761208342
1994-04-01,-1.26151111007058
1994-05-01,-1.0061421056747
1994-06-01,-0.139236500409089
1994-07-01,1.06788500266484
1994-08-01,1.65592147368318
1994-09-01,1.12505572936803
1994-10-01,-0.192823566487264
1994-11-01,-1.02576139754119
1994-12-01,-1.16492067786153
1995-01-01,-1.27618239187586
1995-02-01,-1.3215142272549
1995-03-01,-1.29860439551985
1995-04-01,-1.16273723868502
1995-05-01,-0.832662161859461
1995-06-01,0.00280424989582992
1995-07-01,1.24867888836602
1995-08-01,2.07078296212946
1995-09-01,1.73801795591457
1995-10-01,0.364627243040891
1995-11-01,-0.827573776122739
1995-12-01,-1.14735935812647
1996-01-01,-1.24761016837095
1996-02-01,-1.314617332454
1996-03-01,-1.27644842823634
1996-04-01,-1.27947829615304
1996-05-01,-1.07164455084778
