"date","sst_ant"
1999-01-01,-0.848103118840025
1999-02-01,-0.919021474265983
1999-03-01,-1.22566806871045
1999-04-01,-1.4681334927283
1999-05-01,-1.58467553083776
1999-06-01,-1.61535071989022
1999-07-01,-1.62921711310413
1999-08-01,-1.62587759739569
1999-09-01,-1.61439908558738
1999-10-01,-1.58321958458381
1999-11-01,-1.47030068478056
1999-12-01,-1.27377861689107
2000-01-01,-1.04056672975788
2000-02-01,-1.05526610417636
2000-03-01,-1.25380476247789
2000-04-01,-1.49009551254206
2000-05-01,-1.59166534093017
2000-06-01,-1.61564766364655
2000-07-01,-1.62609388456876
2000-08-01,-1.63026664759286
2000-09-01,-1.59554720172112
2000-10-01,-1.58568949143642
2000-11-01,-1.49260618746146
2000-12-01,-1.23172637557294
2001-01-01,-0.883432167399763
2001-02-01,-0.936441791893711
2001-03-01,-1.18232006293641
2001-04-01,-1.43750534083956
2001-05-01,-1.54533447665362
2001-06-01,-1.60159389336546
2001-07-01,-1.61957185764884
2001-08-01,-1.62438585970384
2001-09-01,-1.61115147267886
2001-10-01,-1.58338175814828
2001-11-01,-1.46183824495659
2001-12-01,-1.1215415078113
2002-01-01,-0.755259366226937
2002-02-01,-0.90095850617551
2002-03-01,-1.22130094778295
2002-04-01,-1.45296572066366
2002-05-01,-1.55643129083464
2002-06-01,-1.61080745310311
2002-07-01,-1.62807486511558
2002-08-01,-1.62621866108176
2002-09-01,-1.60198625279348
2002-10-01,-1.58293579317651
2002-11-01,-1.48973533762856
2002-12-01,-1.24143425514625
2003-01-01,-0.865562217667319
2003-02-01,-0.842943587385857
2003-03-01,-1.18529330897122
2003-04-01,-1.41112888134256
2003-05-01,-1.55472802071491
2003-06-01,-1.61047997758977
2003-07-01,-1.62491023159503
2003-08-01,-1.62999452622634
2003-09-01,-1.61672462942441
2003-10-01,-1.58260781455355
2003-11-01,-1.47830800065704
2003-12-01,-1.22546374258356
2004-01-01,-0.923207928076734
2004-02-01,-0.887637749576189
2004-03-01,-1.20624933770219
2004-04-01,-1.42878415361693
2004-05-01,-1.54558494257551
2004-06-01,-1.6020630695638
2004-07-01,-1.63168128760712
2004-08-01,-1.6187377781472
2004-09-01,-1.60736861616459
2004-10-01,-1.57983426400845
2004-11-01,-1.48706937895223
2004-12-01,-1.18966765249687
2005-01-01,-0.959087968958199
2005-02-01,-0.958571153128558
2005-03-01,-1.23591626864897
2005-04-01,-1.49034452058436
2005-05-01,-1.60659150801405
2005-06-01,-1.6268601051818
2005-07-01,-1.65764455377845
2005-08-01,-1.65790878252312
2005-09-01,-1.65583607643258
2005-10-01,-1.60692947733851
2005-11-01,-1.52208757333098
2005-12-01,-1.25705291052906
2006-01-01,-0.939465909347996
2006-02-01,-0.913962322234521
2006-03-01,-1.20143581495783
2006-04-01,-1.44862133731276
2006-05-01,-1.57910284295991
2006-06-01,-1.62368823563051
2006-07-01,-1.66002469658276
2006-08-01,-1.66543433165911
2006-09-01,-1.69911282987199
2006-10-01,-1.66496939779594
2006-11-01,-1.54359144817071
2006-12-01,-1.33114579054929
2007-01-01,-1.08562612842527
2007-02-01,-0.989685756692135
2007-03-01,-1.2730230733339
2007-04-01,-1.53339245878449
2007-05-01,-1.63194471385389
2007-06-01,-1.67957595747539
2007-07-01,-1.69443534366717
2007-08-01,-1.70519155662928
2007-09-01,-1.70221230382124
2007-10-01,-1.67753386446084
2007-11-01,-1.57730302358406
2007-12-01,-1.40720361980527
2008-01-01,-1.13870660189333
2008-02-01,-1.07225517263508
2008-03-01,-1.30474534398423
2008-04-01,-1.52927146078816
2008-05-01,-1.61838634029481
2008-06-01,-1.66582515740226
2008-07-01,-1.69377990542097
2008-08-01,-1.70437423441623
2008-09-01,-1.69146287725177
2008-10-01,-1.66346180947371
2008-11-01,-1.56053853564753
2008-12-01,-1.30474359857912
2009-01-01,-1.03540539973234
2009-02-01,-0.925410503578364
2009-03-01,-1.22689221620052
2009-04-01,-1.49195416028471
2009-05-01,-1.61396037183482
2009-06-01,-1.69583187041307
2009-07-01,-1.72251115334084
2009-08-01,-1.73247614325839
2009-09-01,-1.73145993522482
2009-10-01,-1.70498178873869
2009-11-01,-1.60320696114036
2009-12-01,-1.35841696786379
2010-01-01,-1.03671723399896
2010-02-01,-0.942077844149508
2010-03-01,-1.20282969302798
2010-04-01,-1.53182103719635
2010-05-01,-1.67602158262103
2010-06-01,-1.70708602767379
2010-07-01,-1.73300539507987
2010-08-01,-1.73670050708819
2010-09-01,-1.72777297105442
2010-10-01,-1.68492431068559
2010-11-01,-1.54333441595452
2010-12-01,-1.32030913721656
